antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Days of Blood & Starlight,Daughter of Smoke & Bone,0.0583978888226781,0.1011322039669702,0.0361794500723589,0.619533527696793,6.125976725466522,1.0,0.0302735428687033,2.3625414102630597,0.8886563814568409,0.2933057280883367,0.5767269959138391,0.4886388177204503
A Torch Against the Night,An Ember in the Ashes,0.02179073589384625,0.04839004199890438,0.013451822995921845,0.6173184357541899,12.757137837742874,1.0,0.012397368370831592,2.486688795360527,0.9421424893100216,0.23712446351931332,0.5978588065118067,0.4476529285689188
"A Court of Wings and Ruin,A Court of Mist and Fury",A Court of Thorns and Roses,0.03739279588336192,0.09708404802744425,0.02307032590051458,0.6169724770642202,6.355034525237463,1.0,0.01944008190909385,2.3573135033534993,0.8753772452551225,0.20708237105465743,0.5757882867181618,0.42730249294907124
Catching Fire,The Hunger Games,0.07135506003430532,0.08919382504288165,0.043910806174957115,0.6153846153846153,6.899408284023668,1.0,0.03754637543433297,2.368096054888507,0.920760990025859,0.3764705882352941,0.57771983195712,0.5538461538461538
Spirit Bound,Last Sacrifice,0.01941688477691886,0.022703755554202933,0.011930123561994035,0.6144200626959249,27.06248581777842,1.0,0.011489287356394746,2.5346138372212144,0.9821181545243796,0.3951612903225807,0.6054625815913895,0.5699446157983645
Blood Promise,Shadow Kiss,0.017956053320348164,0.02319069937305983,0.011017103901637348,0.6135593220338983,26.457128875839675,1.0,0.010600690467158521,2.5277082779381344,0.9797962779949964,0.36565656565656574,0.6043847271744089,0.5443124694158993
Cress,Scarlet,0.092704520303056,0.100536307142249,0.0566953264663318,0.6115702479338844,6.083078494902066,1.0,0.0473751563396689,2.3156405709742103,0.9209894356732412,0.415211970074813,0.5681540509634052,0.5877495608848085
World After,Angelfall,0.03507718696397941,0.061406518010291594,0.02144082332761578,0.6112469437652812,9.954105257406674,1.0,0.019286855414561814,2.4143693970678664,0.932239267620656,0.28571428571428575,0.5858131729078198,0.4802044774692328
The Raven King,"Blue Lily, Lily Blue",0.0513322550438409,0.0582276325870435,0.0313271473567719,0.6102819237147596,10.480967482276728,1.0,0.0283381916702147,2.416547819361757,0.9535361200411996,0.4004352557127313,0.5861865459529315,0.5741468098105962
A Conjuring of Light,A Darker Shade of Magic,0.03542024013722127,0.0781303602058319,0.021612349914236707,0.6101694915254238,7.809633667603118,1.0,0.018844953793738545,2.364796032515475,0.9039719233770981,0.23507462686567163,0.5771305489986456,0.4433942957078272
The Scorch Trials,The Maze Runner,0.01807778927506239,0.035486030799196544,0.011017103901637348,0.6094276094276094,17.173732753492615,1.0,0.010375594914641099,2.4694883521779194,0.9591101314706161,0.25894134477825465,0.5950578187104756,0.45994536560574295
"A Court of Thorns and Roses,Heir of Fire",A Court of Mist and Fury,0.03379073756432247,0.10042881646655231,0.02058319039451115,0.6091370558375635,6.065361290406482,1.0,0.017189626613394373,2.3015003007284314,0.8643359074501449,0.1811320754716981,0.565500817148059,0.4070450437172446
The Dream Thieves,"Blue Lily, Lily Blue",0.0655486507193326,0.0582276325870435,0.0398399591385034,0.6077922077922078,10.43820915926179,1.0,0.0360232163878417,2.4012076917482665,0.9676246137027772,0.4746450304259635,0.5835428965863748,0.6460013670539986
The Battle of the Labyrinth,The Last Olympian,0.0181386572524195,0.022155943757988922,0.011017103901637348,0.6073825503355705,27.41397780072277,1.0,0.010615224831707303,2.490577168889909,0.9813221240047387,0.3762993762993763,0.5984866429793395,0.5523176487941589
The Titan's Curse,The Sea of Monsters,0.018990808935419077,0.021973339825917586,0.011504047720494247,0.6057692307692307,27.56837310888557,1.0,0.011086756222187213,2.4808481136123066,0.9823827940723144,0.39049586776859496,0.5969120420903468,0.5646574685702109
Fairest,Cress,0.0379073756432247,0.0951114922813036,0.022898799313893655,0.6040723981900452,6.351203032367834,1.0,0.01929337224799861,2.285489830923793,0.8757467766824718,0.20794392523364488,0.5624570337310139,0.42241491866220027
"Heir of Fire,Crown of Midnight",Throne of Glass,0.048027444253859346,0.09451114922813036,0.028987993138936536,0.6035714285714286,6.3862457868809965,1.0,0.024448864188014324,2.284116019965077,0.8859640705794551,0.2552870090634441,0.5621938678862339,0.45514324604614986
Clockwork Prince,Clockwork Princess,0.05428816466552316,0.06680960548885077,0.032761578044596916,0.6034755134281201,9.032765708051194,1.0,0.029134607180579544,2.3534243813767235,0.9403413420746886,0.3708737864077671,0.5750872609660768,0.5469238927859471
